"acc","accept_status","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","checkbox_status","clock_backend","color_backend","compensation","coordinates","correct","correct_block_activation","correct_block_exit","correct_instructions_1","correct_instructions_2","correct_keyboard_response","correct_response","count_block_activation","count_block_exit","count_block_info_QA","count_e_block_loop","count_e_block_sequence","count_end_of_experiment","count_experiment","count_experimental_loop","count_form_consent","count_info_forms","count_instructions_1","count_instructions_2","count_keyboard_response","count_listen_message","count_logger","count_p_block_loop","count_p_block_sequence","count_p_feedback","count_personal_details_form_1","count_personal_details_form_2","count_post_loop_blank","count_practice_loop","count_pre_e_block_message","count_pre_p_block_message","count_reset_feedback","count_stimulus_image","count_stimulus_sound","count_timeout_message","count_timeout_sound","count_trial_sequence","datetime","description","disable_garbage_collection","experiment_file","experiment_path","expyriment_opengl","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","keyboard_backend","live_row","live_row_p_block_loop","live_row_practice_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","osf_always_upload_data","osf_always_upload_experiment","osf_datanode_id","osf_id","practice","pygame_doublebuf","repeat_cycle","response","response_block_activation","response_block_exit","response_block_info_QA","response_instructions_1","response_instructions_2","response_keyboard_response","response_time","response_time_block_activation","response_time_block_exit","response_time_block_info_QA","response_time_instructions_1","response_time_instructions_2","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_age","subject_birth","subject_education","subject_gender","subject_handedness","subject_language_native","subject_language_other","subject_nr","subject_parity","subject_residence","time_block_activation","time_block_exit","time_block_info_QA","time_e_block_loop","time_e_block_sequence","time_end_of_experiment","time_experiment","time_experimental_loop","time_form_consent","time_info_forms","time_instructions_1","time_instructions_2","time_keyboard_response","time_listen_message","time_logger","time_p_block_loop","time_p_block_sequence","time_p_feedback","time_personal_details_form_1","time_personal_details_form_2","time_post_loop_blank","time_practice_loop","time_pre_e_block_message","time_pre_p_block_message","time_reset_feedback","time_stimulus_image","time_stimulus_sound","time_timeout_message","time_timeout_sound","time_trial_sequence","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","yes","100","2165","2165","white","no","xpyriment","I have read and understood the information shown above","legacy","legacy","0","uniform","1","0","NA","undefined","undefined","1","f","0","0","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","NA","0","0","0","0","NA","0","0","0","0","0","0","0","Wed Jun 28 15:55:47 2017","Forced-choice identification task with a practice and an experimental phase","yes","NAP-FC_GER_AA_ver-1.osexp","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP-FC_GER_AA/GER_AA_ver-1","yes","no","sans","no","20","no","black","no","Next","yes","768","legacy","0","0","0","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP-FC_GER_AA/GER_AA_ver-1/subject-4.csv","xpyriment","Jazzy James","3.1.6","yes","yes","59504085b83f69022b47a751","595041f76c613b022ae3ecdb","yes","no","0","f","f","NA","NA",";","o","f","2165","8403","NA","NA","48139","14675","2165","2","legacy","1024","1","44100","-16","experiment","flal","30","Arnstadt","2","1","1","German","English","4","even","Köln","3123290","NA","NA","NA","NA","NA","2935912","NA","2935912","2935912","3060201","3108345","3133420","3131917","3135586","3131694","3123286","NA","2963951","3046395","NA","3123084","NA","3123290","NA","3133420","3133420","NA","NA","3131913","NAP perception","1","2165","1","yes","1024"
"100","yes","100","1811","1811","white","no","xpyriment","I have read and understood the information shown above","legacy","legacy","0","uniform","1","0","NA","undefined","undefined","1","j","0","0","NA","NA","NA","NA","0","0","0","0","0","0","1","1","1","0","0","NA","0","0","0","0","NA","0","0","1","1","1","1","1","Wed Jun 28 15:55:47 2017","Forced-choice identification task with a practice and an experimental phase","yes","NAP-FC_GER_AA_ver-1.osexp","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP-FC_GER_AA/GER_AA_ver-1","yes","no","sans","no","20","no","black","no","Next","yes","768","legacy","1","1","0","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP-FC_GER_AA/GER_AA_ver-1/subject-4.csv","xpyriment","Jazzy James","3.1.6","yes","yes","59504085b83f69022b47a751","595041f76c613b022ae3ecdb","yes","no","0","j","f","NA","NA",";","o","j","1457","8403","NA","NA","48139","14675","1457","2","legacy","1024","1","44100","-16","experiment","lepal","30","Arnstadt","2","1","1","German","English","4","even","Köln","3123290","NA","NA","NA","NA","NA","2935912","NA","2935912","2935912","3060201","3108345","3137397","3135894","3138855","3131694","3123286","NA","2963951","3046395","NA","3123084","NA","3123290","NA","3137397","3137397","NA","NA","3135890","NAP perception","2","3622","2","yes","1024"
"100","yes","100","1521","1521","white","no","xpyriment","I have read and understood the information shown above","legacy","legacy","0","uniform","1","0","NA","undefined","undefined","1","j","0","0","NA","NA","NA","NA","0","0","0","0","0","0","2","2","2","0","0","NA","0","0","0","0","NA","0","0","2","2","2","2","2","Wed Jun 28 15:55:47 2017","Forced-choice identification task with a practice and an experimental phase","yes","NAP-FC_GER_AA_ver-1.osexp","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP-FC_GER_AA/GER_AA_ver-1","yes","no","sans","no","20","no","black","no","Next","yes","768","legacy","2","2","0","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP-FC_GER_AA/GER_AA_ver-1/subject-4.csv","xpyriment","Jazzy James","3.1.6","yes","yes","59504085b83f69022b47a751","595041f76c613b022ae3ecdb","yes","no","0","j","f","NA","NA",";","o","j","941","8403","NA","NA","48139","14675","941","2","legacy","1024","1","44100","-16","experiment","emtal","30","Arnstadt","2","1","1","German","English","4","even","Köln","3123290","NA","NA","NA","NA","NA","2935912","NA","2935912","2935912","3060201","3108345","3140631","3139126","3141573","3131694","3123286","NA","2963951","3046395","NA","3123084","NA","3123290","NA","3140631","3140631","NA","NA","3139122","NAP perception","3","4563","3","yes","1024"
"100","yes","100","1539.75","1539.75","white","no","xpyriment","I have read and understood the information shown above","legacy","legacy","0","uniform","1","0","NA","undefined","undefined","1","f","0","0","NA","NA","NA","NA","0","0","0","0","0","0","3","3","3","0","0","NA","0","0","0","0","NA","0","0","3","3","3","3","3","Wed Jun 28 15:55:47 2017","Forced-choice identification task with a practice and an experimental phase","yes","NAP-FC_GER_AA_ver-1.osexp","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP-FC_GER_AA/GER_AA_ver-1","yes","no","sans","no","20","no","black","no","Next","yes","768","legacy","3","3","0","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP-FC_GER_AA/GER_AA_ver-1/subject-4.csv","xpyriment","Jazzy James","3.1.6","yes","yes","59504085b83f69022b47a751","595041f76c613b022ae3ecdb","yes","no","0","f","f","NA","NA",";","o","f","1596","8403","NA","NA","48139","14675","1596","2","legacy","1024","1","44100","-16","experiment","ʃpal","30","Arnstadt","2","1","1","German","English","4","even","Köln","3123290","NA","NA","NA","NA","NA","2935912","NA","2935912","2935912","3060201","3108345","3143353","3141847","3144951","3131694","3123286","NA","2963951","3046395","NA","3123084","NA","3123290","NA","3143353","3143353","NA","NA","3141843","NAP perception","4","6159","4","yes","1024"
"100","yes","100","1471.8","1471.8","white","no","xpyriment","I have read and understood the information shown above","legacy","legacy","0","uniform","1","0","NA","undefined","undefined","1","j","0","0","NA","NA","NA","NA","0","0","0","0","0","0","4","4","4","0","0","NA","0","0","0","0","NA","0","0","4","4","4","4","4","Wed Jun 28 15:55:47 2017","Forced-choice identification task with a practice and an experimental phase","yes","NAP-FC_GER_AA_ver-1.osexp","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP-FC_GER_AA/GER_AA_ver-1","yes","no","sans","no","20","no","black","no","Next","yes","768","legacy","4","4","0","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP-FC_GER_AA/GER_AA_ver-1/subject-4.csv","xpyriment","Jazzy James","3.1.6","yes","yes","59504085b83f69022b47a751","595041f76c613b022ae3ecdb","yes","no","0","j","f","NA","NA",";","o","j","1200","8403","NA","NA","48139","14675","1200","2","legacy","1024","1","44100","-16","experiment","nefal","30","Arnstadt","2","1","1","German","English","4","even","Köln","3123290","NA","NA","NA","NA","NA","2935912","NA","2935912","2935912","3060201","3108345","3146726","3145220","3147927","3131694","3123286","NA","2963951","3046395","NA","3123084","NA","3123290","NA","3146726","3146726","NA","NA","3145216","NAP perception","5","7359","5","yes","1024"
"100","yes","100","1642","1642","white","no","xpyriment","I have read and understood the information shown above","legacy","legacy","0","uniform","1","0","NA","undefined","undefined","1","f","0","0","NA","NA","NA","NA","0","0","0","0","0","0","5","5","5","0","0","NA","0","0","0","0","NA","0","0","5","5","5","5","5","Wed Jun 28 15:55:47 2017","Forced-choice identification task with a practice and an experimental phase","yes","NAP-FC_GER_AA_ver-1.osexp","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP-FC_GER_AA/GER_AA_ver-1","yes","no","sans","no","20","no","black","no","Next","yes","768","legacy","5","5","0","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP-FC_GER_AA/GER_AA_ver-1/subject-4.csv","xpyriment","Jazzy James","3.1.6","yes","yes","59504085b83f69022b47a751","595041f76c613b022ae3ecdb","yes","no","0","f","f","NA","NA",";","o","f","2493","8403","NA","NA","48139","14675","2493","2","legacy","1024","1","44100","-16","experiment","sfal","30","Arnstadt","2","1","1","German","English","4","even","Köln","3123290","NA","NA","NA","NA","NA","2935912","NA","2935912","2935912","3060201","3108345","3149700","3148194","3152194","3131694","3123286","NA","2963951","3046395","NA","3123084","NA","3123290","NA","3149699","3149699","NA","NA","3148190","NAP perception","6","9852","6","yes","1024"
"85.7142857143","yes","85.7142857143","1541","1541","white","no","xpyriment","I have read and understood the information shown above","legacy","legacy","0","uniform","0","0","NA","undefined","undefined","0","f","0","0","NA","NA","NA","NA","0","0","0","0","0","0","6","6","6","0","0","NA","0","0","0","0","NA","0","0","6","6","6","6","6","Wed Jun 28 15:55:47 2017","Forced-choice identification task with a practice and an experimental phase","yes","NAP-FC_GER_AA_ver-1.osexp","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP-FC_GER_AA/GER_AA_ver-1","yes","no","sans","no","20","no","black","no","Next","yes","768","legacy","6","6","0","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP-FC_GER_AA/GER_AA_ver-1/subject-4.csv","xpyriment","Jazzy James","3.1.6","yes","yes","59504085b83f69022b47a751","595041f76c613b022ae3ecdb","yes","no","0","j","f","NA","NA",";","o","j","935","8403","NA","NA","48139","14675","935","2","legacy","1024","1","44100","-16","experiment","zmal","30","Arnstadt","2","1","1","German","English","4","even","Köln","3123290","NA","NA","NA","NA","NA","2935912","NA","2935912","2935912","3060201","3108345","3153967","3152463","3154903","3131694","3123286","NA","2963951","3046395","NA","3123084","NA","3123290","NA","3153966","3153967","NA","NA","3152459","NAP perception","6","10787","7","yes","1024"
"87.5","yes","87.5","1453.75","1453.75","white","no","xpyriment","I have read and understood the information shown above","legacy","legacy","0","uniform","1","0","NA","undefined","undefined","1","j","0","0","NA","NA","NA","NA","0","0","0","0","0","0","7","7","7","0","0","NA","0","0","0","0","NA","0","0","7","7","7","7","7","Wed Jun 28 15:55:47 2017","Forced-choice identification task with a practice and an experimental phase","yes","NAP-FC_GER_AA_ver-1.osexp","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP-FC_GER_AA/GER_AA_ver-1","yes","no","sans","no","20","no","black","no","Next","yes","768","legacy","7","7","0","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP-FC_GER_AA/GER_AA_ver-1/subject-4.csv","xpyriment","Jazzy James","3.1.6","yes","yes","59504085b83f69022b47a751","595041f76c613b022ae3ecdb","yes","no","0","j","f","NA","NA",";","o","j","843","8403","NA","NA","48139","14675","843","2","legacy","1024","1","44100","-16","experiment","jeval","30","Arnstadt","2","1","1","German","English","4","even","Köln","3123290","NA","NA","NA","NA","NA","2935912","NA","2935912","2935912","3060201","3108345","3156678","3155171","3157523","3131694","3123286","NA","2963951","3046395","NA","3123084","NA","3123290","NA","3156678","3156678","NA","NA","3155167","NAP perception","7","11630","8","yes","1024"
"88.8888888889","yes","88.8888888889","1372.11111111","1372.11111111","white","no","xpyriment","I have read and understood the information shown above","legacy","legacy","0","uniform","1","0","NA","undefined","undefined","1","j","0","0","NA","NA","NA","NA","0","0","0","0","0","0","8","8","8","0","0","NA","0","0","0","0","NA","0","0","8","8","8","8","8","Wed Jun 28 15:55:47 2017","Forced-choice identification task with a practice and an experimental phase","yes","NAP-FC_GER_AA_ver-1.osexp","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP-FC_GER_AA/GER_AA_ver-1","yes","no","sans","no","20","no","black","no","Next","yes","768","legacy","8","8","0","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP-FC_GER_AA/GER_AA_ver-1/subject-4.csv","xpyriment","Jazzy James","3.1.6","yes","yes","59504085b83f69022b47a751","595041f76c613b022ae3ecdb","yes","no","0","j","f","NA","NA",";","o","j","719","8403","NA","NA","48139","14675","719","2","legacy","1024","1","44100","-16","experiment","enval","30","Arnstadt","2","1","1","German","English","4","even","Köln","3123290","NA","NA","NA","NA","NA","2935912","NA","2935912","2935912","3060201","3108345","3159306","3157802","3160026","3131694","3123286","NA","2963951","3046395","NA","3123084","NA","3123290","NA","3159306","3159306","NA","NA","3157798","NAP perception","8","12349","9","yes","1024"
"90","yes","90","1430.9","1430.9","white","no","xpyriment","I have read and understood the information shown above","legacy","legacy","0","uniform","1","0","NA","undefined","undefined","1","f","0","0","NA","NA","NA","NA","0","0","0","0","0","0","9","9","9","0","0","NA","0","0","0","0","NA","0","0","9","9","9","9","9","Wed Jun 28 15:55:47 2017","Forced-choice identification task with a practice and an experimental phase","yes","NAP-FC_GER_AA_ver-1.osexp","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP-FC_GER_AA/GER_AA_ver-1","yes","no","sans","no","20","no","black","no","Next","yes","768","legacy","9","9","0","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP-FC_GER_AA/GER_AA_ver-1/subject-4.csv","xpyriment","Jazzy James","3.1.6","yes","yes","59504085b83f69022b47a751","595041f76c613b022ae3ecdb","yes","no","0","f","f","NA","NA",";","o","f","1960","8403","NA","NA","48139","14675","1960","2","legacy","1024","1","44100","-16","experiment","vlal","30","Arnstadt","2","1","1","German","English","4","even","Köln","3123290","NA","NA","NA","NA","NA","2935912","NA","2935912","2935912","3060201","3108345","3161815","3160311","3163776","3131694","3123286","NA","2963951","3046395","NA","3123084","NA","3123290","NA","3161815","3161815","NA","NA","3160307","NAP perception","9","14309","10","yes","1024"
