"acc","accept_status","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","checkbox_status","clock_backend","color_backend","compensation","coordinates","correct","correct_block_activation","correct_block_exit","correct_instructions_1","correct_instructions_2","correct_keyboard_response","correct_response","count_block_activation","count_block_exit","count_block_info_QA","count_e_block_loop","count_e_block_sequence","count_end_of_experiment","count_experiment","count_experimental_loop","count_form_consent","count_info_forms","count_instructions_1","count_instructions_2","count_keyboard_response","count_listen_message","count_logger","count_p_block_loop","count_p_block_sequence","count_p_feedback","count_personal_details_form_1","count_personal_details_form_2","count_post_loop_blank","count_practice_loop","count_pre_e_block_message","count_pre_p_block_message","count_reset_feedback","count_stimulus_image","count_stimulus_sound","count_timeout_message","count_timeout_sound","count_trial_sequence","datetime","description","disable_garbage_collection","experiment_file","experiment_path","expyriment_opengl","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","keyboard_backend","live_row","live_row_p_block_loop","live_row_practice_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","osf_always_upload_data","osf_always_upload_experiment","osf_datanode_id","osf_id","practice","pygame_doublebuf","repeat_cycle","response","response_block_activation","response_block_exit","response_block_info_QA","response_instructions_1","response_instructions_2","response_keyboard_response","response_time","response_time_block_activation","response_time_block_exit","response_time_block_info_QA","response_time_instructions_1","response_time_instructions_2","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_age","subject_birth","subject_education","subject_gender","subject_handedness","subject_language_native","subject_language_other","subject_nr","subject_parity","subject_residence","time_block_activation","time_block_exit","time_block_info_QA","time_e_block_loop","time_e_block_sequence","time_end_of_experiment","time_experiment","time_experimental_loop","time_form_consent","time_info_forms","time_instructions_1","time_instructions_2","time_keyboard_response","time_listen_message","time_logger","time_p_block_loop","time_p_block_sequence","time_p_feedback","time_personal_details_form_1","time_personal_details_form_2","time_post_loop_blank","time_practice_loop","time_pre_e_block_message","time_pre_p_block_message","time_reset_feedback","time_stimulus_image","time_stimulus_sound","time_timeout_message","time_timeout_sound","time_trial_sequence","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","yes","100","2025","2025","white","no","xpyriment","I have read and understood the information shown above","legacy","legacy","0","uniform","1","0","NA","undefined","undefined","1","f","0","0","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","NA","0","0","0","0","NA","0","0","0","0","0","0","0","Wed Jun 28 15:28:56 2017","Forced-choice identification task with a practice and an experimental phase","yes","NAP-FC_GER_AA_ver-2.osexp","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP-FC_GER_AA/GER_AA_ver-2","yes","no","sans","no","20","no","black","no","Next","yes","768","legacy","0","0","0","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP-FC_GER_AA/GER_AA_ver-2/subject-3.csv","xpyriment","Jazzy James","3.1.6","yes","yes","5950408a6c613b0229e3e810","59504237594d9002288b1720","yes","no","0","f","f","NA","NA","space","space","f","2025","9735","NA","NA","14904","10879","2025","2","legacy","1024","1","44100","-16","experiment","flal","25","Donaueschingen, Ger","1","0","1","german","english, spanish, french, latin","3","odd","Cologne","2606415","NA","NA","NA","NA","NA","1324347","NA","1324347","1324347","2580341","2595249","2617869","2616364","2619895","2616151","2606411","NA","2457055","2563972","NA","2606190","NA","2606414","NA","2617869","2617869","NA","NA","2616361","NAP perception","1","2025","1","yes","1024"
"100","yes","100","1540.5","1540.5","white","no","xpyriment","I have read and understood the information shown above","legacy","legacy","0","uniform","1","0","NA","undefined","undefined","1","j","0","0","NA","NA","NA","NA","0","0","0","0","0","0","1","1","1","0","0","NA","0","0","0","0","NA","0","0","1","1","1","1","1","Wed Jun 28 15:28:56 2017","Forced-choice identification task with a practice and an experimental phase","yes","NAP-FC_GER_AA_ver-2.osexp","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP-FC_GER_AA/GER_AA_ver-2","yes","no","sans","no","20","no","black","no","Next","yes","768","legacy","1","1","0","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP-FC_GER_AA/GER_AA_ver-2/subject-3.csv","xpyriment","Jazzy James","3.1.6","yes","yes","5950408a6c613b0229e3e810","59504237594d9002288b1720","yes","no","0","j","f","NA","NA","space","space","j","1056","9735","NA","NA","14904","10879","1056","2","legacy","1024","1","44100","-16","experiment","lepal","25","Donaueschingen, Ger","1","0","1","german","english, spanish, french, latin","3","odd","Cologne","2606415","NA","NA","NA","NA","NA","1324347","NA","1324347","1324347","2580341","2595249","2621675","2620171","2622732","2616151","2606411","NA","2457055","2563972","NA","2606190","NA","2606414","NA","2621675","2621675","NA","NA","2620167","NAP perception","2","3081","2","yes","1024"
"100","yes","100","1508.66666667","1508.66666667","white","no","xpyriment","I have read and understood the information shown above","legacy","legacy","0","uniform","1","0","NA","undefined","undefined","1","j","0","0","NA","NA","NA","NA","0","0","0","0","0","0","2","2","2","0","0","NA","0","0","0","0","NA","0","0","2","2","2","2","2","Wed Jun 28 15:28:56 2017","Forced-choice identification task with a practice and an experimental phase","yes","NAP-FC_GER_AA_ver-2.osexp","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP-FC_GER_AA/GER_AA_ver-2","yes","no","sans","no","20","no","black","no","Next","yes","768","legacy","2","2","0","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP-FC_GER_AA/GER_AA_ver-2/subject-3.csv","xpyriment","Jazzy James","3.1.6","yes","yes","5950408a6c613b0229e3e810","59504237594d9002288b1720","yes","no","0","j","f","NA","NA","space","space","j","1445","9735","NA","NA","14904","10879","1445","2","legacy","1024","1","44100","-16","experiment","emtal","25","Donaueschingen, Ger","1","0","1","german","english, spanish, french, latin","3","odd","Cologne","2606415","NA","NA","NA","NA","NA","1324347","NA","1324347","1324347","2580341","2595249","2624508","2623001","2625954","2616151","2606411","NA","2457055","2563972","NA","2606190","NA","2606414","NA","2624507","2624508","NA","NA","2622998","NAP perception","3","4526","3","yes","1024"
"100","yes","100","1563.25","1563.25","white","no","xpyriment","I have read and understood the information shown above","legacy","legacy","0","uniform","1","0","NA","undefined","undefined","1","f","0","0","NA","NA","NA","NA","0","0","0","0","0","0","3","3","3","0","0","NA","0","0","0","0","NA","0","0","3","3","3","3","3","Wed Jun 28 15:28:56 2017","Forced-choice identification task with a practice and an experimental phase","yes","NAP-FC_GER_AA_ver-2.osexp","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP-FC_GER_AA/GER_AA_ver-2","yes","no","sans","no","20","no","black","no","Next","yes","768","legacy","3","3","0","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP-FC_GER_AA/GER_AA_ver-2/subject-3.csv","xpyriment","Jazzy James","3.1.6","yes","yes","5950408a6c613b0229e3e810","59504237594d9002288b1720","yes","no","0","f","f","NA","NA","space","space","f","1727","9735","NA","NA","14904","10879","1727","2","legacy","1024","1","44100","-16","experiment","ʃpal","25","Donaueschingen, Ger","1","0","1","german","english, spanish, french, latin","3","odd","Cologne","2606415","NA","NA","NA","NA","NA","1324347","NA","1324347","1324347","2580341","2595249","2627730","2626226","2629459","2616151","2606411","NA","2457055","2563972","NA","2606190","NA","2606414","NA","2627730","2627730","NA","NA","2626222","NAP perception","4","6253","4","yes","1024"
"100","yes","100","1481.8","1481.8","white","no","xpyriment","I have read and understood the information shown above","legacy","legacy","0","uniform","1","0","NA","undefined","undefined","1","j","0","0","NA","NA","NA","NA","0","0","0","0","0","0","4","4","4","0","0","NA","0","0","0","0","NA","0","0","4","4","4","4","4","Wed Jun 28 15:28:56 2017","Forced-choice identification task with a practice and an experimental phase","yes","NAP-FC_GER_AA_ver-2.osexp","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP-FC_GER_AA/GER_AA_ver-2","yes","no","sans","no","20","no","black","no","Next","yes","768","legacy","4","4","0","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP-FC_GER_AA/GER_AA_ver-2/subject-3.csv","xpyriment","Jazzy James","3.1.6","yes","yes","5950408a6c613b0229e3e810","59504237594d9002288b1720","yes","no","0","j","f","NA","NA","space","space","j","1156","9735","NA","NA","14904","10879","1156","2","legacy","1024","1","44100","-16","experiment","nefal","25","Donaueschingen, Ger","1","0","1","german","english, spanish, french, latin","3","odd","Cologne","2606415","NA","NA","NA","NA","NA","1324347","NA","1324347","1324347","2580341","2595249","2631241","2629735","2632398","2616151","2606411","NA","2457055","2563972","NA","2606190","NA","2606414","NA","2631240","2631241","NA","NA","2629731","NAP perception","5","7409","5","yes","1024"
"100","yes","100","1415.33333333","1415.33333333","white","no","xpyriment","I have read and understood the information shown above","legacy","legacy","0","uniform","1","0","NA","undefined","undefined","1","f","0","0","NA","NA","NA","NA","0","0","0","0","0","0","5","5","5","0","0","NA","0","0","0","0","NA","0","0","5","5","5","5","5","Wed Jun 28 15:28:56 2017","Forced-choice identification task with a practice and an experimental phase","yes","NAP-FC_GER_AA_ver-2.osexp","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP-FC_GER_AA/GER_AA_ver-2","yes","no","sans","no","20","no","black","no","Next","yes","768","legacy","5","5","0","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP-FC_GER_AA/GER_AA_ver-2/subject-3.csv","xpyriment","Jazzy James","3.1.6","yes","yes","5950408a6c613b0229e3e810","59504237594d9002288b1720","yes","no","0","f","f","NA","NA","space","space","f","1083","9735","NA","NA","14904","10879","1083","2","legacy","1024","1","44100","-16","experiment","sfal","25","Donaueschingen, Ger","1","0","1","german","english, spanish, french, latin","3","odd","Cologne","2606415","NA","NA","NA","NA","NA","1324347","NA","1324347","1324347","2580341","2595249","2634179","2632675","2635263","2616151","2606411","NA","2457055","2563972","NA","2606190","NA","2606414","NA","2634179","2634179","NA","NA","2632671","NAP perception","6","8492","6","yes","1024"
"85.7142857143","yes","85.7142857143","1418.71428571","1418.71428571","white","no","xpyriment","I have read and understood the information shown above","legacy","legacy","0","uniform","0","0","NA","undefined","undefined","0","f","0","0","NA","NA","NA","NA","0","0","0","0","0","0","6","6","6","0","0","NA","0","0","0","0","NA","0","0","6","6","6","6","6","Wed Jun 28 15:28:56 2017","Forced-choice identification task with a practice and an experimental phase","yes","NAP-FC_GER_AA_ver-2.osexp","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP-FC_GER_AA/GER_AA_ver-2","yes","no","sans","no","20","no","black","no","Next","yes","768","legacy","6","6","0","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP-FC_GER_AA/GER_AA_ver-2/subject-3.csv","xpyriment","Jazzy James","3.1.6","yes","yes","5950408a6c613b0229e3e810","59504237594d9002288b1720","yes","no","0","j","f","NA","NA","space","space","j","1439","9735","NA","NA","14904","10879","1439","2","legacy","1024","1","44100","-16","experiment","zmal","25","Donaueschingen, Ger","1","0","1","german","english, spanish, french, latin","3","odd","Cologne","2606415","NA","NA","NA","NA","NA","1324347","NA","1324347","1324347","2580341","2595249","2637041","2635535","2638481","2616151","2606411","NA","2457055","2563972","NA","2606190","NA","2606414","NA","2637041","2637041","NA","NA","2635531","NAP perception","6","9931","7","yes","1024"
"87.5","yes","87.5","1348.25","1348.25","white","no","xpyriment","I have read and understood the information shown above","legacy","legacy","0","uniform","1","0","NA","undefined","undefined","1","j","0","0","NA","NA","NA","NA","0","0","0","0","0","0","7","7","7","0","0","NA","0","0","0","0","NA","0","0","7","7","7","7","7","Wed Jun 28 15:28:56 2017","Forced-choice identification task with a practice and an experimental phase","yes","NAP-FC_GER_AA_ver-2.osexp","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP-FC_GER_AA/GER_AA_ver-2","yes","no","sans","no","20","no","black","no","Next","yes","768","legacy","7","7","0","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP-FC_GER_AA/GER_AA_ver-2/subject-3.csv","xpyriment","Jazzy James","3.1.6","yes","yes","5950408a6c613b0229e3e810","59504237594d9002288b1720","yes","no","0","j","f","NA","NA","space","space","j","855","9735","NA","NA","14904","10879","855","2","legacy","1024","1","44100","-16","experiment","jeval","25","Donaueschingen, Ger","1","0","1","german","english, spanish, french, latin","3","odd","Cologne","2606415","NA","NA","NA","NA","NA","1324347","NA","1324347","1324347","2580341","2595249","2640266","2638762","2641122","2616151","2606411","NA","2457055","2563972","NA","2606190","NA","2606414","NA","2640266","2640266","NA","NA","2638758","NAP perception","7","10786","8","yes","1024"
"88.8888888889","yes","88.8888888889","1302.66666667","1302.66666667","white","no","xpyriment","I have read and understood the information shown above","legacy","legacy","0","uniform","1","0","NA","undefined","undefined","1","j","0","0","NA","NA","NA","NA","0","0","0","0","0","0","8","8","8","0","0","NA","0","0","0","0","NA","0","0","8","8","8","8","8","Wed Jun 28 15:28:56 2017","Forced-choice identification task with a practice and an experimental phase","yes","NAP-FC_GER_AA_ver-2.osexp","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP-FC_GER_AA/GER_AA_ver-2","yes","no","sans","no","20","no","black","no","Next","yes","768","legacy","8","8","0","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP-FC_GER_AA/GER_AA_ver-2/subject-3.csv","xpyriment","Jazzy James","3.1.6","yes","yes","5950408a6c613b0229e3e810","59504237594d9002288b1720","yes","no","0","j","f","NA","NA","space","space","j","938","9735","NA","NA","14904","10879","938","2","legacy","1024","1","44100","-16","experiment","enval","25","Donaueschingen, Ger","1","0","1","german","english, spanish, french, latin","3","odd","Cologne","2606415","NA","NA","NA","NA","NA","1324347","NA","1324347","1324347","2580341","2595249","2642903","2641399","2643842","2616151","2606411","NA","2457055","2563972","NA","2606190","NA","2606414","NA","2642903","2642903","NA","NA","2641395","NAP perception","8","11724","9","yes","1024"
"90","yes","90","1300.2","1300.2","white","no","xpyriment","I have read and understood the information shown above","legacy","legacy","0","uniform","1","0","NA","undefined","undefined","1","f","0","0","NA","NA","NA","NA","0","0","0","0","0","0","9","9","9","0","0","NA","0","0","0","0","NA","0","0","9","9","9","9","9","Wed Jun 28 15:28:56 2017","Forced-choice identification task with a practice and an experimental phase","yes","NAP-FC_GER_AA_ver-2.osexp","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP-FC_GER_AA/GER_AA_ver-2","yes","no","sans","no","20","no","black","no","Next","yes","768","legacy","9","9","0","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP-FC_GER_AA/GER_AA_ver-2/subject-3.csv","xpyriment","Jazzy James","3.1.6","yes","yes","5950408a6c613b0229e3e810","59504237594d9002288b1720","yes","no","0","f","f","NA","NA","space","space","f","1278","9735","NA","NA","14904","10879","1278","2","legacy","1024","1","44100","-16","experiment","vlal","25","Donaueschingen, Ger","1","0","1","german","english, spanish, french, latin","3","odd","Cologne","2606415","NA","NA","NA","NA","NA","1324347","NA","1324347","1324347","2580341","2595249","2645611","2644108","2646891","2616151","2606411","NA","2457055","2563972","NA","2606190","NA","2606414","NA","2645611","2645611","NA","NA","2644103","NAP perception","9","13002","10","yes","1024"
