"acc","accept_status","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","checkbox_status","clock_backend","color_backend","compensation","coordinates","correct","correct_block_activation","correct_block_exit","correct_instructions_1_heb","correct_instructions_2_heb","correct_keyboard_response","correct_response","count_block_activation","count_block_exit","count_block_info_QA","count_cont_e_block_message","count_cont_e_block_message_heb","count_e_block_loop","count_e_block_sequence","count_end_of_experiment","count_end_of_experiment_heb","count_experiment","count_experimental_loop","count_form_consent","count_form_consent_heb","count_info_forms","count_instructions_1","count_instructions_1_heb","count_instructions_2","count_instructions_2_heb","count_keyboard_response","count_listen_message","count_logger","count_p_block_loop","count_p_block_sequence","count_p_feedback","count_p_feedback_heb","count_pause_feedback","count_pause_feedback_heb","count_personal_details_form_1","count_personal_details_form_1_heb","count_personal_details_form_2","count_personal_details_form_2_heb","count_post_loop_blank","count_practice_loop","count_pre_e_block_message","count_pre_e_block_message_heb","count_pre_p_block_message","count_pre_p_block_message_heb","count_reset_feedback","count_stimulus_image","count_stimulus_sound","count_timeout_message","count_timeout_sound","count_trial_sequence","datetime","description","disable_garbage_collection","experiment_file","experiment_path","expyriment_opengl","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","keyboard_backend","live_row","live_row_p_block_loop","live_row_practice_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","practice","pygame_doublebuf","repeat_cycle","response","response_block_activation","response_block_exit","response_block_info_QA","response_instructions_1","response_instructions_1_heb","response_instructions_2","response_instructions_2_heb","response_keyboard_response","response_time","response_time_block_activation","response_time_block_exit","response_time_block_info_QA","response_time_instructions_1","response_time_instructions_1_heb","response_time_instructions_2","response_time_instructions_2_heb","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_age","subject_education","subject_gender","subject_handedness","subject_hebrew_native","subject_language_other","subject_nr","subject_other_native_lang","subject_parity","time_block_activation","time_block_exit","time_block_info_QA","time_cont_e_block_message","time_cont_e_block_message_heb","time_e_block_loop","time_e_block_sequence","time_end_of_experiment","time_end_of_experiment_heb","time_experiment","time_experimental_loop","time_form_consent","time_form_consent_heb","time_info_forms","time_instructions_1","time_instructions_1_heb","time_instructions_2","time_instructions_2_heb","time_keyboard_response","time_listen_message","time_logger","time_p_block_loop","time_p_block_sequence","time_p_feedback","time_p_feedback_heb","time_pause_feedback","time_pause_feedback_heb","time_personal_details_form_1","time_personal_details_form_1_heb","time_personal_details_form_2","time_personal_details_form_2_heb","time_post_loop_blank","time_practice_loop","time_pre_e_block_message","time_pre_e_block_message_heb","time_pre_p_block_message","time_pre_p_block_message_heb","time_reset_feedback","time_stimulus_image","time_stimulus_sound","time_timeout_message","time_timeout_sound","time_trial_sequence","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"0","yes","0","3000","3000","white","yes","xpyriment","קראתי והבנתי את המידע שלמעלה","legacy","legacy","0","uniform","0","0","NA","undefined","undefined","0","f","0","0","NA","NA","NA","NA","NA","NA","NA","0","0","NA","0","0","NA","0","NA","0","0","0","0","0","0","NA","NA","NA","NA","NA","0","NA","0","0","0","NA","NA","NA","0","0","0","0","0","0","0","Sat Oct 30 10:41:28 2021","Forced-choice identification task with a practice and an experimental phase","yes","NAP_HEB_HN_4blocks_noglides.osexp","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP_HEB_HN_4blocks_noglides","yes","no","sans","no","20","no","black","no","הבא","yes","768","legacy","0","0","0","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP_HEB_HN_4blocks_noglides/subject-33.csv","xpyriment","Kafkaesque Koffka","3.2.7","yes","no","0","None","f","NA","NA","NA","space","NA","space","None","3000","6101","NA","NA","NA","43366","NA","57430","3000","2","legacy","1024","1","44100","-16","experiment","flal","2","1","1","1","2"," English; German","33","","odd","370112","NA","NA","NA","NA","NA","NA","NA","NA","5436","NA","NA","5443","5443","NA","268830","NA","312202","378236","376732","382239","376214","370108","NA","NA","NA","NA","NA","197996","NA","253929","NA","369698","NA","NA","NA","370112","NA","378235","378235","381239","381236","376728","NAP perception","0","3000","1","yes","1024"
"50","yes","50","2137.5","2137.5","white","yes","xpyriment","קראתי והבנתי את המידע שלמעלה","legacy","legacy","0","uniform","1","0","NA","undefined","undefined","1","j","0","0","NA","NA","NA","NA","NA","NA","NA","0","0","NA","0","0","NA","0","NA","0","1","1","1","0","0","NA","NA","NA","NA","NA","0","NA","0","0","0","NA","NA","NA","0","0","1","1","1","1","1","Sat Oct 30 10:41:28 2021","Forced-choice identification task with a practice and an experimental phase","yes","NAP_HEB_HN_4blocks_noglides.osexp","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP_HEB_HN_4blocks_noglides","yes","no","sans","no","20","no","black","no","הבא","yes","768","legacy","1","1","0","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP_HEB_HN_4blocks_noglides/subject-33.csv","xpyriment","Kafkaesque Koffka","3.2.7","yes","no","0","j","f","NA","NA","NA","space","NA","space","j","1275","6101","NA","NA","NA","43366","NA","57430","1275","2","legacy","1024","1","44100","-16","experiment","lepal","2","1","1","1","2"," English; German","33","","odd","370112","NA","NA","NA","NA","NA","NA","NA","NA","5436","NA","NA","5443","5443","NA","268830","NA","312202","384333","382829","385610","376214","370108","NA","NA","NA","NA","NA","197996","NA","253929","NA","369698","NA","NA","NA","370112","NA","384332","384332","381239","381236","382824","NAP perception","1","4275","2","yes","1024"
"66.6666666667","yes","66.6666666667","1860.33333333","1860.33333333","white","yes","xpyriment","קראתי והבנתי את המידע שלמעלה","legacy","legacy","0","uniform","1","0","NA","undefined","undefined","1","j","0","0","NA","NA","NA","NA","NA","NA","NA","0","0","NA","0","0","NA","0","NA","0","2","2","2","0","0","NA","NA","NA","NA","NA","0","NA","0","0","0","NA","NA","NA","0","0","2","2","2","2","2","Sat Oct 30 10:41:28 2021","Forced-choice identification task with a practice and an experimental phase","yes","NAP_HEB_HN_4blocks_noglides.osexp","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP_HEB_HN_4blocks_noglides","yes","no","sans","no","20","no","black","no","הבא","yes","768","legacy","2","2","0","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP_HEB_HN_4blocks_noglides/subject-33.csv","xpyriment","Kafkaesque Koffka","3.2.7","yes","no","0","j","f","NA","NA","NA","space","NA","space","j","1306","6101","NA","NA","NA","43366","NA","57430","1306","2","legacy","1024","1","44100","-16","experiment","emtal","2","1","1","1","2"," English; German","33","","odd","370112","NA","NA","NA","NA","NA","NA","NA","NA","5436","NA","NA","5443","5443","NA","268830","NA","312202","387666","386161","388973","376214","370108","NA","NA","NA","NA","NA","197996","NA","253929","NA","369698","NA","NA","NA","370112","NA","387665","387665","381239","381236","386158","NAP perception","2","5581","3","yes","1024"
"75","yes","75","1765.5","1765.5","white","yes","xpyriment","קראתי והבנתי את המידע שלמעלה","legacy","legacy","0","uniform","1","0","NA","undefined","undefined","1","f","0","0","NA","NA","NA","NA","NA","NA","NA","0","0","NA","0","0","NA","0","NA","0","3","3","3","0","0","NA","NA","NA","NA","NA","0","NA","0","0","0","NA","NA","NA","0","0","3","3","3","3","3","Sat Oct 30 10:41:28 2021","Forced-choice identification task with a practice and an experimental phase","yes","NAP_HEB_HN_4blocks_noglides.osexp","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP_HEB_HN_4blocks_noglides","yes","no","sans","no","20","no","black","no","הבא","yes","768","legacy","3","3","0","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP_HEB_HN_4blocks_noglides/subject-33.csv","xpyriment","Kafkaesque Koffka","3.2.7","yes","no","0","f","f","NA","NA","NA","space","NA","space","f","1481","6101","NA","NA","NA","43366","NA","57430","1481","2","legacy","1024","1","44100","-16","experiment","ʃpal","2","1","1","1","2"," English; German","33","","odd","370112","NA","NA","NA","NA","NA","NA","NA","NA","5436","NA","NA","5443","5443","NA","268830","NA","312202","391022","389518","392504","376214","370108","NA","NA","NA","NA","NA","197996","NA","253929","NA","369698","NA","NA","NA","370112","NA","391021","391021","381239","381236","389515","NAP perception","3","7062","4","yes","1024"
"60","yes","60","2012.4","2012.4","white","yes","xpyriment","קראתי והבנתי את המידע שלמעלה","legacy","legacy","0","uniform","0","0","NA","undefined","undefined","0","j","0","0","NA","NA","NA","NA","NA","NA","NA","0","0","NA","0","0","NA","0","NA","0","4","4","4","0","0","NA","NA","NA","NA","NA","0","NA","0","0","0","NA","NA","NA","0","0","4","4","4","4","4","Sat Oct 30 10:41:28 2021","Forced-choice identification task with a practice and an experimental phase","yes","NAP_HEB_HN_4blocks_noglides.osexp","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP_HEB_HN_4blocks_noglides","yes","no","sans","no","20","no","black","no","הבא","yes","768","legacy","4","4","0","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP_HEB_HN_4blocks_noglides/subject-33.csv","xpyriment","Kafkaesque Koffka","3.2.7","yes","no","0","None","f","NA","NA","NA","space","NA","space","None","3000","6101","NA","NA","NA","43366","NA","57430","3000","2","legacy","1024","1","44100","-16","experiment","nefal","2","1","1","1","2"," English; German","33","","odd","370112","NA","NA","NA","NA","NA","NA","NA","NA","5436","NA","NA","5443","5443","NA","268830","NA","312202","394569","393065","398573","376214","370108","NA","NA","NA","NA","NA","197996","NA","253929","NA","369698","NA","NA","NA","370112","NA","394568","394568","397573","397569","393061","NAP perception","3","10062","5","yes","1024"
"66.6666666667","yes","66.6666666667","1885.16666667","1885.16666667","white","yes","xpyriment","קראתי והבנתי את המידע שלמעלה","legacy","legacy","0","uniform","1","0","NA","undefined","undefined","1","f","0","0","NA","NA","NA","NA","NA","NA","NA","0","0","NA","0","0","NA","0","NA","0","5","5","5","0","0","NA","NA","NA","NA","NA","0","NA","0","0","0","NA","NA","NA","0","0","5","5","5","5","5","Sat Oct 30 10:41:28 2021","Forced-choice identification task with a practice and an experimental phase","yes","NAP_HEB_HN_4blocks_noglides.osexp","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP_HEB_HN_4blocks_noglides","yes","no","sans","no","20","no","black","no","הבא","yes","768","legacy","5","5","0","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP_HEB_HN_4blocks_noglides/subject-33.csv","xpyriment","Kafkaesque Koffka","3.2.7","yes","no","0","f","f","NA","NA","NA","space","NA","space","f","1249","6101","NA","NA","NA","43366","NA","57430","1249","2","legacy","1024","1","44100","-16","experiment","sfal","2","1","1","1","2"," English; German","33","","odd","370112","NA","NA","NA","NA","NA","NA","NA","NA","5436","NA","NA","5443","5443","NA","268830","NA","312202","400616","399111","401866","376214","370108","NA","NA","NA","NA","NA","197996","NA","253929","NA","369698","NA","NA","NA","370112","NA","400616","400616","397573","397569","399108","NAP perception","4","11311","6","yes","1024"
"71.4285714286","yes","71.4285714286","1838.14285714","1838.14285714","white","yes","xpyriment","קראתי והבנתי את המידע שלמעלה","legacy","legacy","0","uniform","1","0","NA","undefined","undefined","1","f","0","0","NA","NA","NA","NA","NA","NA","NA","0","0","NA","0","0","NA","0","NA","0","6","6","6","0","0","NA","NA","NA","NA","NA","0","NA","0","0","0","NA","NA","NA","0","0","6","6","6","6","6","Sat Oct 30 10:41:28 2021","Forced-choice identification task with a practice and an experimental phase","yes","NAP_HEB_HN_4blocks_noglides.osexp","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP_HEB_HN_4blocks_noglides","yes","no","sans","no","20","no","black","no","הבא","yes","768","legacy","6","6","0","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP_HEB_HN_4blocks_noglides/subject-33.csv","xpyriment","Kafkaesque Koffka","3.2.7","yes","no","0","f","f","NA","NA","NA","space","NA","space","f","1556","6101","NA","NA","NA","43366","NA","57430","1556","2","legacy","1024","1","44100","-16","experiment","zmal","2","1","1","1","2"," English; German","33","","odd","370112","NA","NA","NA","NA","NA","NA","NA","NA","5436","NA","NA","5443","5443","NA","268830","NA","312202","403914","402410","405471","376214","370108","NA","NA","NA","NA","NA","197996","NA","253929","NA","369698","NA","NA","NA","370112","NA","403914","403914","397573","397569","402406","NAP perception","5","12867","7","yes","1024"
"75","yes","75","1826","1826","white","yes","xpyriment","קראתי והבנתי את המידע שלמעלה","legacy","legacy","0","uniform","1","0","NA","undefined","undefined","1","j","0","0","NA","NA","NA","NA","NA","NA","NA","0","0","NA","0","0","NA","0","NA","0","7","7","7","0","0","NA","NA","NA","NA","NA","0","NA","0","0","0","NA","NA","NA","0","0","7","7","7","7","7","Sat Oct 30 10:41:28 2021","Forced-choice identification task with a practice and an experimental phase","yes","NAP_HEB_HN_4blocks_noglides.osexp","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP_HEB_HN_4blocks_noglides","yes","no","sans","no","20","no","black","no","הבא","yes","768","legacy","7","7","0","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP_HEB_HN_4blocks_noglides/subject-33.csv","xpyriment","Kafkaesque Koffka","3.2.7","yes","no","0","j","f","NA","NA","NA","space","NA","space","j","1741","6101","NA","NA","NA","43366","NA","57430","1741","2","legacy","1024","1","44100","-16","experiment","mesal","2","1","1","1","2"," English; German","33","","odd","370112","NA","NA","NA","NA","NA","NA","NA","NA","5436","NA","NA","5443","5443","NA","268830","NA","312202","407532","406028","409274","376214","370108","NA","NA","NA","NA","NA","197996","NA","253929","NA","369698","NA","NA","NA","370112","NA","407532","407532","397573","397569","406024","NAP perception","6","14608","8","yes","1024"
"77.7777777778","yes","77.7777777778","1732.88888889","1732.88888889","white","yes","xpyriment","קראתי והבנתי את המידע שלמעלה","legacy","legacy","0","uniform","1","0","NA","undefined","undefined","1","j","0","0","NA","NA","NA","NA","NA","NA","NA","0","0","NA","0","0","NA","0","NA","0","8","8","8","0","0","NA","NA","NA","NA","NA","0","NA","0","0","0","NA","NA","NA","0","0","8","8","8","8","8","Sat Oct 30 10:41:28 2021","Forced-choice identification task with a practice and an experimental phase","yes","NAP_HEB_HN_4blocks_noglides.osexp","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP_HEB_HN_4blocks_noglides","yes","no","sans","no","20","no","black","no","הבא","yes","768","legacy","8","8","0","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP_HEB_HN_4blocks_noglides/subject-33.csv","xpyriment","Kafkaesque Koffka","3.2.7","yes","no","0","j","f","NA","NA","NA","space","NA","space","j","988","6101","NA","NA","NA","43366","NA","57430","988","2","legacy","1024","1","44100","-16","experiment","enval","2","1","1","1","2"," English; German","33","","odd","370112","NA","NA","NA","NA","NA","NA","NA","NA","5436","NA","NA","5443","5443","NA","268830","NA","312202","411322","409818","412311","376214","370108","NA","NA","NA","NA","NA","197996","NA","253929","NA","369698","NA","NA","NA","370112","NA","411321","411321","397573","397569","409814","NAP perception","7","15596","9","yes","1024"
"70","yes","70","1739.7","1739.7","white","yes","xpyriment","קראתי והבנתי את המידע שלמעלה","legacy","legacy","0","uniform","0","0","NA","undefined","undefined","0","f","0","0","NA","NA","NA","NA","NA","NA","NA","0","0","NA","0","0","NA","0","NA","0","9","9","9","0","0","NA","NA","NA","NA","NA","0","NA","0","0","0","NA","NA","NA","0","0","9","9","9","9","9","Sat Oct 30 10:41:28 2021","Forced-choice identification task with a practice and an experimental phase","yes","NAP_HEB_HN_4blocks_noglides.osexp","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP_HEB_HN_4blocks_noglides","yes","no","sans","no","20","no","black","no","הבא","yes","768","legacy","9","9","0","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP_HEB_HN_4blocks_noglides/subject-33.csv","xpyriment","Kafkaesque Koffka","3.2.7","yes","no","0","j","f","NA","NA","NA","space","NA","space","j","1801","6101","NA","NA","NA","43366","NA","57430","1801","2","legacy","1024","1","44100","-16","experiment","vlal","2","1","1","1","2"," English; German","33","","odd","370112","NA","NA","NA","NA","NA","NA","NA","NA","5436","NA","NA","5443","5443","NA","268830","NA","312202","414359","412855","416162","376214","370108","NA","NA","NA","NA","NA","197996","NA","253929","NA","369698","NA","NA","NA","370112","NA","414358","414359","397573","397569","412851","NAP perception","7","17397","10","yes","1024"
