"acc","accept_status","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","checkbox_status","clock_backend","color_backend","compensation","coordinates","correct","correct_block_activation","correct_block_exit","correct_instructions_1","correct_instructions_2","correct_keyboard_response","correct_response","count_block_activation","count_block_exit","count_block_info_QA","count_e_block_loop","count_e_block_sequence","count_end_of_experiment","count_experiment","count_experimental_loop","count_form_consent","count_info_forms","count_instructions_1","count_instructions_2","count_keyboard_response","count_listen_message","count_logger","count_p_block_loop","count_p_block_sequence","count_p_feedback","count_personal_details_form_1","count_personal_details_form_2","count_post_loop_blank","count_practice_loop","count_pre_e_block_message","count_pre_p_block_message","count_reset_feedback","count_stimulus_image","count_stimulus_sound","count_timeout_message","count_timeout_sound","count_trial_sequence","datetime","description","disable_garbage_collection","experiment_file","experiment_path","expyriment_opengl","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","keyboard_backend","live_row","live_row_p_block_loop","live_row_practice_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","osf_always_upload_data","osf_always_upload_experiment","osf_datanode_id","osf_id","practice","pygame_doublebuf","repeat_cycle","response","response_block_activation","response_block_exit","response_block_info_QA","response_instructions_1","response_instructions_2","response_keyboard_response","response_time","response_time_block_activation","response_time_block_exit","response_time_block_info_QA","response_time_instructions_1","response_time_instructions_2","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_age","subject_birth","subject_education","subject_gender","subject_handedness","subject_language_native","subject_language_other","subject_nr","subject_parity","subject_residence","time_block_activation","time_block_exit","time_block_info_QA","time_e_block_loop","time_e_block_sequence","time_end_of_experiment","time_experiment","time_experimental_loop","time_form_consent","time_info_forms","time_instructions_1","time_instructions_2","time_keyboard_response","time_listen_message","time_logger","time_p_block_loop","time_p_block_sequence","time_p_feedback","time_personal_details_form_1","time_personal_details_form_2","time_post_loop_blank","time_practice_loop","time_pre_e_block_message","time_pre_p_block_message","time_reset_feedback","time_stimulus_image","time_stimulus_sound","time_timeout_message","time_timeout_sound","time_trial_sequence","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","yes","100","2282","2282","white","no","xpyriment","I have read and understood the information shown above","legacy","legacy","0","uniform","1","0","NA","undefined","undefined","1","f","0","0","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","NA","0","0","0","0","NA","0","0","0","0","0","0","0","Wed Jun 28 16:53:56 2017","Forced-choice identification task with a practice and an experimental phase","yes","NAP-FC_GER_AA_ver-1.osexp","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP-FC_GER_AA/GER_AA_ver-1","yes","no","sans","no","20","no","black","no","Next","yes","768","legacy","0","0","0","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP-FC_GER_AA/GER_AA_ver-1/subject-5.csv","xpyriment","Jazzy James","3.1.6","yes","yes","59504085b83f69022b47a751","595041f76c613b022ae3ecdb","yes","no","0","f","f","NA","NA","return","return","f","2282","3156","NA","NA","17777","26985","2282","2","legacy","1024","1","44100","-16","experiment","flal","23","datteln","1","0","1","deutsch","english french","5","odd","koeln","6647050","NA","NA","NA","NA","NA","6424835","NA","6424836","6424836","6602000","6619781","6651940","6650436","6654224","6650208","6647046","NA","6444825","6577533","NA","6646830","NA","6647050","NA","6651940","6651940","NA","NA","6650432","NAP perception","1","2282","1","yes","1024"
"100","yes","100","1812.5","1812.5","white","no","xpyriment","I have read and understood the information shown above","legacy","legacy","0","uniform","1","0","NA","undefined","undefined","1","j","0","0","NA","NA","NA","NA","0","0","0","0","0","0","1","1","1","0","0","NA","0","0","0","0","NA","0","0","1","1","1","1","1","Wed Jun 28 16:53:56 2017","Forced-choice identification task with a practice and an experimental phase","yes","NAP-FC_GER_AA_ver-1.osexp","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP-FC_GER_AA/GER_AA_ver-1","yes","no","sans","no","20","no","black","no","Next","yes","768","legacy","1","1","0","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP-FC_GER_AA/GER_AA_ver-1/subject-5.csv","xpyriment","Jazzy James","3.1.6","yes","yes","59504085b83f69022b47a751","595041f76c613b022ae3ecdb","yes","no","0","j","f","NA","NA","return","return","j","1343","3156","NA","NA","17777","26985","1343","2","legacy","1024","1","44100","-16","experiment","lepal","23","datteln","1","0","1","deutsch","english french","5","odd","koeln","6647050","NA","NA","NA","NA","NA","6424835","NA","6424836","6424836","6602000","6619781","6656021","6654514","6657365","6650208","6647046","NA","6444825","6577533","NA","6646830","NA","6647050","NA","6656020","6656020","NA","NA","6654510","NAP perception","2","3625","2","yes","1024"
"100","yes","100","1623","1623","white","no","xpyriment","I have read and understood the information shown above","legacy","legacy","0","uniform","1","0","NA","undefined","undefined","1","j","0","0","NA","NA","NA","NA","0","0","0","0","0","0","2","2","2","0","0","NA","0","0","0","0","NA","0","0","2","2","2","2","2","Wed Jun 28 16:53:56 2017","Forced-choice identification task with a practice and an experimental phase","yes","NAP-FC_GER_AA_ver-1.osexp","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP-FC_GER_AA/GER_AA_ver-1","yes","no","sans","no","20","no","black","no","Next","yes","768","legacy","2","2","0","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP-FC_GER_AA/GER_AA_ver-1/subject-5.csv","xpyriment","Jazzy James","3.1.6","yes","yes","59504085b83f69022b47a751","595041f76c613b022ae3ecdb","yes","no","0","j","f","NA","NA","return","return","j","1244","3156","NA","NA","17777","26985","1244","2","legacy","1024","1","44100","-16","experiment","emtal","23","datteln","1","0","1","deutsch","english french","5","odd","koeln","6647050","NA","NA","NA","NA","NA","6424835","NA","6424836","6424836","6602000","6619781","6659138","6657632","6660384","6650208","6647046","NA","6444825","6577533","NA","6646830","NA","6647050","NA","6659138","6659138","NA","NA","6657628","NAP perception","3","4869","3","yes","1024"
"75","yes","75","1726.25","1726.25","white","no","xpyriment","I have read and understood the information shown above","legacy","legacy","0","uniform","0","0","NA","undefined","undefined","0","f","0","0","NA","NA","NA","NA","0","0","0","0","0","0","3","3","3","0","0","NA","0","0","0","0","NA","0","0","3","3","3","3","3","Wed Jun 28 16:53:56 2017","Forced-choice identification task with a practice and an experimental phase","yes","NAP-FC_GER_AA_ver-1.osexp","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP-FC_GER_AA/GER_AA_ver-1","yes","no","sans","no","20","no","black","no","Next","yes","768","legacy","3","3","0","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP-FC_GER_AA/GER_AA_ver-1/subject-5.csv","xpyriment","Jazzy James","3.1.6","yes","yes","59504085b83f69022b47a751","595041f76c613b022ae3ecdb","yes","no","0","j","f","NA","NA","return","return","j","2036","3156","NA","NA","17777","26985","2036","2","legacy","1024","1","44100","-16","experiment","ʃpal","23","datteln","1","0","1","deutsch","english french","5","odd","koeln","6647050","NA","NA","NA","NA","NA","6424835","NA","6424836","6424836","6602000","6619781","6662162","6660657","6664199","6650208","6647046","NA","6444825","6577533","NA","6646830","NA","6647050","NA","6662162","6662162","NA","NA","6660652","NAP perception","3","6905","4","yes","1024"
"80","yes","80","1648.2","1648.2","white","no","xpyriment","I have read and understood the information shown above","legacy","legacy","0","uniform","1","0","NA","undefined","undefined","1","j","0","0","NA","NA","NA","NA","0","0","0","0","0","0","4","4","4","0","0","NA","0","0","0","0","NA","0","0","4","4","4","4","4","Wed Jun 28 16:53:56 2017","Forced-choice identification task with a practice and an experimental phase","yes","NAP-FC_GER_AA_ver-1.osexp","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP-FC_GER_AA/GER_AA_ver-1","yes","no","sans","no","20","no","black","no","Next","yes","768","legacy","4","4","0","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP-FC_GER_AA/GER_AA_ver-1/subject-5.csv","xpyriment","Jazzy James","3.1.6","yes","yes","59504085b83f69022b47a751","595041f76c613b022ae3ecdb","yes","no","0","j","f","NA","NA","return","return","j","1336","3156","NA","NA","17777","26985","1336","2","legacy","1024","1","44100","-16","experiment","nefal","23","datteln","1","0","1","deutsch","english french","5","odd","koeln","6647050","NA","NA","NA","NA","NA","6424835","NA","6424836","6424836","6602000","6619781","6665982","6664478","6667319","6650208","6647046","NA","6444825","6577533","NA","6646830","NA","6647050","NA","6665982","6665982","NA","NA","6664474","NAP perception","4","8241","5","yes","1024"
"83.3333333333","yes","83.3333333333","1612.66666667","1612.66666667","white","no","xpyriment","I have read and understood the information shown above","legacy","legacy","0","uniform","1","0","NA","undefined","undefined","1","f","0","0","NA","NA","NA","NA","0","0","0","0","0","0","5","5","5","0","0","NA","0","0","0","0","NA","0","0","5","5","5","5","5","Wed Jun 28 16:53:56 2017","Forced-choice identification task with a practice and an experimental phase","yes","NAP-FC_GER_AA_ver-1.osexp","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP-FC_GER_AA/GER_AA_ver-1","yes","no","sans","no","20","no","black","no","Next","yes","768","legacy","5","5","0","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP-FC_GER_AA/GER_AA_ver-1/subject-5.csv","xpyriment","Jazzy James","3.1.6","yes","yes","59504085b83f69022b47a751","595041f76c613b022ae3ecdb","yes","no","0","f","f","NA","NA","return","return","f","1435","3156","NA","NA","17777","26985","1435","2","legacy","1024","1","44100","-16","experiment","sfal","23","datteln","1","0","1","deutsch","english french","5","odd","koeln","6647050","NA","NA","NA","NA","NA","6424835","NA","6424836","6424836","6602000","6619781","6669093","6667588","6670529","6650208","6647046","NA","6444825","6577533","NA","6646830","NA","6647050","NA","6669092","6669092","NA","NA","6667584","NAP perception","5","9676","6","yes","1024"
"85.7142857143","yes","85.7142857143","1652.14285714","1652.14285714","white","no","xpyriment","I have read and understood the information shown above","legacy","legacy","0","uniform","1","0","NA","undefined","undefined","1","f","0","0","NA","NA","NA","NA","0","0","0","0","0","0","6","6","6","0","0","NA","0","0","0","0","NA","0","0","6","6","6","6","6","Wed Jun 28 16:53:56 2017","Forced-choice identification task with a practice and an experimental phase","yes","NAP-FC_GER_AA_ver-1.osexp","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP-FC_GER_AA/GER_AA_ver-1","yes","no","sans","no","20","no","black","no","Next","yes","768","legacy","6","6","0","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP-FC_GER_AA/GER_AA_ver-1/subject-5.csv","xpyriment","Jazzy James","3.1.6","yes","yes","59504085b83f69022b47a751","595041f76c613b022ae3ecdb","yes","no","0","f","f","NA","NA","return","return","f","1889","3156","NA","NA","17777","26985","1889","2","legacy","1024","1","44100","-16","experiment","zmal","23","datteln","1","0","1","deutsch","english french","5","odd","koeln","6647050","NA","NA","NA","NA","NA","6424835","NA","6424836","6424836","6602000","6619781","6672311","6670808","6674201","6650208","6647046","NA","6444825","6577533","NA","6646830","NA","6647050","NA","6672311","6672311","NA","NA","6670803","NAP perception","6","11565","7","yes","1024"
"87.5","yes","87.5","1567.875","1567.875","white","no","xpyriment","I have read and understood the information shown above","legacy","legacy","0","uniform","1","0","NA","undefined","undefined","1","j","0","0","NA","NA","NA","NA","0","0","0","0","0","0","7","7","7","0","0","NA","0","0","0","0","NA","0","0","7","7","7","7","7","Wed Jun 28 16:53:56 2017","Forced-choice identification task with a practice and an experimental phase","yes","NAP-FC_GER_AA_ver-1.osexp","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP-FC_GER_AA/GER_AA_ver-1","yes","no","sans","no","20","no","black","no","Next","yes","768","legacy","7","7","0","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP-FC_GER_AA/GER_AA_ver-1/subject-5.csv","xpyriment","Jazzy James","3.1.6","yes","yes","59504085b83f69022b47a751","595041f76c613b022ae3ecdb","yes","no","0","j","f","NA","NA","return","return","j","978","3156","NA","NA","17777","26985","978","2","legacy","1024","1","44100","-16","experiment","jeval","23","datteln","1","0","1","deutsch","english french","5","odd","koeln","6647050","NA","NA","NA","NA","NA","6424835","NA","6424836","6424836","6602000","6619781","6676001","6674495","6676980","6650208","6647046","NA","6444825","6577533","NA","6646830","NA","6647050","NA","6676001","6676001","NA","NA","6674491","NAP perception","7","12543","8","yes","1024"
"88.8888888889","yes","88.8888888889","1503.88888889","1503.88888889","white","no","xpyriment","I have read and understood the information shown above","legacy","legacy","0","uniform","1","0","NA","undefined","undefined","1","j","0","0","NA","NA","NA","NA","0","0","0","0","0","0","8","8","8","0","0","NA","0","0","0","0","NA","0","0","8","8","8","8","8","Wed Jun 28 16:53:56 2017","Forced-choice identification task with a practice and an experimental phase","yes","NAP-FC_GER_AA_ver-1.osexp","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP-FC_GER_AA/GER_AA_ver-1","yes","no","sans","no","20","no","black","no","Next","yes","768","legacy","8","8","0","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP-FC_GER_AA/GER_AA_ver-1/subject-5.csv","xpyriment","Jazzy James","3.1.6","yes","yes","59504085b83f69022b47a751","595041f76c613b022ae3ecdb","yes","no","0","j","f","NA","NA","return","return","j","992","3156","NA","NA","17777","26985","992","2","legacy","1024","1","44100","-16","experiment","enval","23","datteln","1","0","1","deutsch","english french","5","odd","koeln","6647050","NA","NA","NA","NA","NA","6424835","NA","6424836","6424836","6602000","6619781","6678776","6677271","6679770","6650208","6647046","NA","6444825","6577533","NA","6646830","NA","6647050","NA","6678776","6678776","NA","NA","6677267","NAP perception","8","13535","9","yes","1024"
"90","yes","90","1535.8","1535.8","white","no","xpyriment","I have read and understood the information shown above","legacy","legacy","0","uniform","1","0","NA","undefined","undefined","1","f","0","0","NA","NA","NA","NA","0","0","0","0","0","0","9","9","9","0","0","NA","0","0","0","0","NA","0","0","9","9","9","9","9","Wed Jun 28 16:53:56 2017","Forced-choice identification task with a practice and an experimental phase","yes","NAP-FC_GER_AA_ver-1.osexp","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP-FC_GER_AA/GER_AA_ver-1","yes","no","sans","no","20","no","black","no","Next","yes","768","legacy","9","9","0","/Users/aviadalbert/Documents/Academisch/UoC/Dissertation/Experiment/OpenSesame/NAP-FC/NAP-FC_GER_AA/GER_AA_ver-1/subject-5.csv","xpyriment","Jazzy James","3.1.6","yes","yes","59504085b83f69022b47a751","595041f76c613b022ae3ecdb","yes","no","0","f","f","NA","NA","return","return","f","1823","3156","NA","NA","17777","26985","1823","2","legacy","1024","1","44100","-16","experiment","vlal","23","datteln","1","0","1","deutsch","english french","5","odd","koeln","6647050","NA","NA","NA","NA","NA","6424835","NA","6424836","6424836","6602000","6619781","6681550","6680046","6683374","6650208","6647046","NA","6444825","6577533","NA","6646830","NA","6647050","NA","6681550","6681550","NA","NA","6680042","NAP perception","9","15358","10","yes","1024"
