"","subject_nr","subject_age","subject_gender","subject_handedness","subject_education","subject_german_native","subject_other_native_lang","subject_language_other"
"1","1","40-59","other","right-handed","undergrad","monolingual",NA,"englisch,italienisch"
"2","10","40-59","other","right-handed","undergrad","monolingual",NA,"englsch"
"3","11","30-39","female","right-handed","undergrad","monolingual",NA,"English, French"
"4","12","19-29","female","right-handed","undergrad","monolingual",NA,"Englisch"
"5","13","19-29","female","left-handed","school","multilingual","Polnisch","Englisch, Chinesisch"
"6","14","19-29","female","right-handed","school","monolingual",NA,"English, French, Dutch"
"7","15","19-29","female","right-handed","school","monolingual",NA,"Englisch, Franzoesisch, Spanisch"
"8","16","19-29","female","right-handed","school","monolingual",NA,"english"
"9","17","30-39","female","right-handed","graduate","monolingual",NA,"English, norwegian and danish"
"10","18","19-29","female","right-handed","school","monolingual",NA,"English, French"
"11","19","19-29","female","right-handed","undergrad","multilingual","Hebraeisch","Englich, Spansch"
"12","2","13-18","male","right-handed","school","monolingual",NA,"english"
"13","20","19-29","female","right-handed","undergrad","monolingual",NA,"eng,fra,dutch"
"14","21","19-29","male","right-handed","school","monolingual",NA,"English"
"15","22","40-59","male","left-handed","graduate","monolingual",NA,"Eng, Japanese"
"16","23","19-29","female","right-handed","school","monolingual",NA,"Franzoesisch, Eng"
"17","24","19-29","female","right-handed","school","monolingual",NA,"eng"
"18","25","19-29","female","right-handed","school","monolingual",NA,"eng italian "
"19","26","19-29","male","right-handed","school","monolingual",NA,"English"
"20","27","19-29","male","right-handed","school","monolingual",NA,"English, French"
"21","28","19-29","female","right-handed","school","monolingual",NA,"eng spanish arabic"
"22","29","19-29","female","right-handed","school","monolingual",NA,"Eng French "
"23","3","13-18","male","right-handed","school","monolingual",NA,"english"
"24","30","19-29","female","right-handed","undergrad","monolingual",NA,"ENG"
"25","31","19-29","female","right-handed","undergrad","monolingual",NA,"Eng, Swedish"
"26","32","19-29","male","right-handed","school","monolingual",NA,"Eng French, Dutch"
"27","33","19-29","female","right-handed","school","monolingual",NA,"Eng, French"
"28","34","19-29","female","right-handed","undergrad","monolingual",NA,"eng, french"
"29","35","19-29","female","right-handed","school","monolingual",NA,"eng, spanish, portugues,"
"30","36","40-59","male","right-handed","graduate","monolingual",NA,"english"
"31","37","19-29","female","right-handed","graduate","monolingual",NA,"Engl, dutch"
"32","38","19-29","male","right-handed","school","multilingual","Niederdeutsch","Englisch, Spanisch, Schwedisch, (Dutch)"
"33","39","19-29","female","right-handed","undergrad","monolingual",NA,"eng"
"34","4","30-39","other","right-handed","undergrad","monolingual",NA,"english"
"35","40","19-29","female","right-handed","school","monolingual",NA,"Englisch"
"36","41","40-59","male","right-handed","graduate","monolingual",NA,"Eng"
"37","42","19-29","male","right-handed","undergrad","monolingual",NA,"Englisch, Franzoesich, russish"
"38","43","19-29","female","right-handed","school","monolingual",NA,"Niederaendsch, english"
"39","44","40-59","male","right-handed","undergrad","monolingual",NA,"engl"
"40","45","19-29","male","right-handed","undergrad","monolingual",NA,"ENG"
"41","46","30-39","male","right-handed","graduate","monolingual",NA,"niederlaendisch, portugiesisch, englisch"
"42","47","19-29","female","right-handed","undergrad","monolingual",NA,"Englisch"
"43","48","30-39","female","right-handed","school","monolingual",NA,"englisch"
"44","49","30-39","female","right-handed","graduate","monolingual",NA,"eng"
"45","5","40-59","male","right-handed","undergrad","monolingual",NA,"english"
"46","50","30-39","male","right-handed","graduate","monolingual",NA,"Englisch"
"47","51","30-39","male","right-handed","school","monolingual",NA,"Englisch"
"48","6","40-59","male","right-handed","school","monolingual",NA,"english"
"49","7","40-59","female","right-handed","graduate","monolingual",NA,"Englisch, Indonesisch, Franzoesisch"
"50","8","40-59","female","right-handed","school","monolingual",NA,"italienisch, englisch, franzoesisch"
"51","9","40-59","male","right-handed","school","monolingual",NA,"Englisch, Italienisch"
